minute,sh,sz
0930,0.35,0.18
0931,0.72,0.31
0932,1.91,1.27
0933,1.68,1.30
0934,2.48,2.10
0935,2.81,2.92
0936,2.49,2.67
0937,2.89,2.90
0938,2.30,2.28
0939,2.03,2.02
0940,2.80,3.10
0941,3.13,3.17
0942,2.83,2.64
0943,3.62,2.98
0944,2.97,2.10
0945,3.52,2.33
0946,3.72,2.45
0947,3.72,2.45
0948,2.61,0.48
0949,2.89,0.63
0950,2.88,0.51
0951,2.98,0.82
0952,3.64,1.99
0953,3.22,1.87
0954,2.95,1.59
0955,2.86,1.46
0956,2.49,1.39
0957,2.52,1.47
0958,2.79,1.94
0959,2.93,2.05
1000,2.93,2.05
1001,2.86,1.18
1002,2.65,1.04
1003,2.71,1.18
1004,2.77,1.14
1005,2.86,1.28
1006,3.22,1.84
1007,3.39,1.94
1008,3.60,1.96
1009,3.40,1.84
1010,3.38,1.70
1011,3.05,1.19
1012,3.25,1.54
1013,3.59,1.90
1014,3.69,1.78
1015,3.54,1.47
1016,3.22,1.23
1017,3.17,1.21
1018,3.14,1.19
1019,3.01,0.94
1020,2.99,0.99
1021,2.73,0.83
1022,2.83,1.03
1023,2.89,1.01
1024,2.93,1.03
1025,2.96,0.93
1026,3.07,0.93
1027,2.98,0.83
1028,2.98,0.83
1029,2.98,0.83
1030,2.85,0.39
1031,2.85,-0.47
1032,2.04,-0.20
1033,2.04,-0.20
1034,2.04,-0.20
1035,1.85,-0.41
1036,2.13,-0.20
1037,2.19,-0.09
1038,1.90,-0.06
1039,2.03,0.05
1040,2.01,0.15
1041,1.75,-0.01
1042,1.89,0.11
1043,2.07,0.54
1044,2.28,0.61
1045,2.35,0.65
1046,2.36,0.57
1047,2.41,0.21
1048,2.40,0.16
1049,2.46,0.18
1050,2.54,0.18
1051,2.20,-0.06
1052,2.20,-0.10
1053,2.20,-0.10
1054,2.20,-0.10
1055,2.39,0.05
1056,2.52,-0.01
1057,2.66,-0.05
1058,2.98,0.27
1059,3.12,0.81
1100,3.44,0.97
1101,3.63,0.99
1102,3.66,0.95
1103,3.43,0.73
1104,3.37,0.71
1105,3.59,0.79
1106,3.65,0.75
1107,3.76,0.80
1108,3.88,0.91
1109,3.92,0.94
1110,4.10,0.98
1111,3.98,0.92
1112,4.00,0.84
1113,4.00,0.87
1114,4.07,0.95
1115,4.68,0.95
1116,4.71,1.53
1117,4.83,1.53
1118,4.58,1.46
1119,4.59,1.45
1120,4.55,1.33
1121,4.41,1.18
1122,4.59,1.24
1123,4.59,1.24
1124,4.59,1.24
1125,4.74,1.31
1126,4.83,1.30
1127,4.85,1.32
1128,4.91,1.40
1129,4.92,1.37
1130,4.87,1.33
1300,4.92,1.37
1301,4.96,1.40
1302,5.01,1.40
1303,4.94,1.27
1304,4.86,1.07
1305,4.86,1.01
1306,4.65,0.50
1307,3.80,-0.60
1308,3.97,-0.45
1309,3.92,-0.58
1310,3.97,-0.62
1311,3.83,-0.70
1312,3.86,-0.67
1313,3.92,-0.68
1314,3.92,-0.68
1315,3.92,-0.68
1316,3.68,-1.12
1317,3.91,-1.00
1318,4.22,-0.82
1319,4.12,-0.82
1320,4.12,-0.87
1321,4.15,-0.81
1322,4.15,-0.84
1323,4.11,-0.87
1324,4.13,-0.79
1325,4.58,-0.55
1326,4.42,-0.58
1327,4.14,-0.77
1328,4.14,-0.79
1329,4.18,-0.73
1330,4.76,-0.73
1331,4.67,-0.36
1332,4.61,-0.38
1333,4.66,-0.39
1334,4.76,-0.37
1335,4.68,-0.41
1336,4.83,-0.31
1337,4.66,-0.47
1338,4.57,-0.49
1339,4.50,-0.51
1340,4.59,-0.38
1341,4.71,-0.28
1342,4.80,-0.17
1343,4.80,-0.14
1344,4.72,-0.13
1345,4.64,-0.22
1346,4.62,-0.25
1347,4.71,-0.27
1348,4.65,-0.29
1349,4.76,-0.25
1350,4.86,-0.20
1351,4.89,-0.21
1352,4.87,-0.30
1353,4.97,-0.23
1354,5.08,-0.18
1355,5.22,0.07
1356,5.57,0.59
1357,5.68,0.64
1358,5.75,0.72
1359,5.83,0.73
1400,5.93,0.69
1401,5.97,0.79
1402,6.01,0.80
1403,6.01,0.80
1404,6.07,0.81
1405,6.21,0.91
1406,7.00,1.44
1407,6.63,1.21
1408,6.96,1.24
1409,6.83,0.96
1410,6.79,0.85
1411,6.82,0.85
1412,6.70,0.87
1413,6.72,0.97
1414,6.75,0.98
1415,6.75,0.92
1416,6.73,0.80
1417,6.75,0.76
1418,6.69,0.78
1419,6.74,0.83
1420,6.72,0.86
1421,6.71,0.87
1422,6.74,0.87
1423,6.73,0.78
1424,6.83,0.92
1425,6.90,0.97
1426,6.84,1.02
1427,6.86,1.15
1428,6.82,1.13
1429,6.77,1.13
1430,6.76,1.15
1431,6.58,1.01
1432,6.64,1.02
1433,6.59,1.05
1434,6.60,1.15
1435,6.55,1.28
1436,6.62,1.58
1437,6.58,1.65
1438,6.65,1.67
1439,6.64,1.66
1440,6.56,1.77
1441,6.60,1.78
1442,6.67,1.88
1443,6.71,1.87
1444,6.74,1.98
1445,6.96,2.12
1446,7.06,2.31
1447,7.22,2.43
1448,7.37,2.64
1449,7.32,2.87
1450,7.32,2.87
1451,7.24,2.95
1452,7.30,3.07
1453,7.45,3.17
1454,7.39,3.22
1455,7.37,3.40
1456,7.45,3.40
1457,7.35,3.42
1458,7.74,3.75
1459,7.99,3.91
1500,8.95,4.84
